财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
日本未季调经常帐,http://www.kxt.com/data/jnbpab+index.html, 日本财务省Ministry of Finance, 每月,"如果是赤字，公布值>预测值=利空日元；如果是盈余，公布值>预测值=利好日元
",经常帐(Current Account)，为一国收支表上的主要项目，内容记载一个国家与外国包括因为商品 、劳务进出口、投资所得、其它商品与劳务所得以及片面转移等因素所产生的资金流出与 流入的状况。, 统计商品 、劳务进出口、投资所得、其它商品与劳务所得以及片面转移等因素所产生的资金流出与流入的状况,如果经常帐出现顺差，表示本国的净国外财富或净国外投资增加。如果是负数逆差，表示本国的净国外财富或投资均少。一国经常帐逆差扩大，该国币值将走贬。,利多
日本核心机械订单年率,http://www.kxt.com/data/jnmoyoy+index.html,日本内阁府,每月,"如机械订单大量增加将推动经济持续稳定地增长，因而利好日元，反之则利空日元。
",日本内阁府 统计私营部门对机器设备的订单变化，但不包括船舶和公用设备。,"统计每月核心机械订单年率,可据此判断未来工业乃至整个经济的走向。",核心机械订单数据是工业产出的先行指标，可据此判断未来工业乃至整个经济的走向，进而帮助外汇投资者判断短线日元走势。,利多
日本零售销售年率,http://www.kxt.com/data/jnnetyoy+index.html,日本经济产业省(METI),每月,"公布值>预测值=利好日元
",零售销售(Retail Sale)，是零售销售数额的统计汇总，是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。,"统计每月零售销售年率,如公布的数据录得高位将利好日元，反之数据录得低位则利空日元。",是衡量消费者支出的最主要的衡量器，而消费支出又是整体经济活动的最主要内容。零售销售上升，对日元有利。,利空
日本领先指标月率初值,http://www.kxt.com/data/jplein%3deci.html," 日本内阁府Cabinet Office, Government of Japan", 每月,"公布值>预期值=利好日元
",领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。, 基于11个经济指标的衡量综合水平的指标,领先指标对即将到来的年份里的经济情况可以提供预兆。通过观察领先指标的变化，可以判断未来经济的走向。,利多
日本企业服务价格指数年率,http://www.kxt.com/data/jnpiy+index.html,日本央行,每月,"公布值>预测值=利好日元
",工业产值衡量下列产业内工业设施的产出：采矿和采石、制造业和公用设施（电力、燃气和供水）。产量基于产出量。,企业购买服务所支付的价格变动,是消费者通胀的领先性指标——当企业为其服务支持更高成本时，通常这部分成本会传导至消费终端。,利空
日本制造业PMI初值,http://www.kxt.com/data/mpmijpma+indexp.html, 新加坡统计局, 每月,"数据>预期=利好日元
",消费者购买商品及服务的价格变动, 统计消费者购买的商品和服务的价格变化，公布月率和年率,消费者物价指数(CPI)会对该国央行的利率决定产生重大影响。,利多
日本季调后零售销售月率,http://www.kxt.com/data/jnretmom+index.html,"Ministry of Economy, Trade and Industry",每月,"公布值>预测值=利好日元
",零售销售(Retail Sale)，是零售销售数额的统计汇总，是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。,零售行业销售的总价值变动，以月率变动进行考量,是衡量消费者支出的最主要的衡量器，而消费支出又是整体经济活动的最主要内容。零售销售上升，对日元有利。,利空
日本路透短观制造业景气判断指数,http://www.kxt.com/data/jprtan%3deci.html,Reuters,每月,"公布值>预测值=利好日元
",短观大型制造业景气指数是衡量大型制造商总的经营状况的指标。,"该指数通过对日本的1,200家大型制造商进行调查，询问其经营状况来计算。",如果该指标比预期更高，则应认为日元强势/看涨，而如果该指标比预期更低，则应认为日元弱势/看跌。,利多
日本大型零售商销售年率,http://www.kxt.com/data/jnrsyoy+index.html,日本经济产业省(METI),每月,"公布值>预测值=利好日元
",零售销售(Retail Sale)，是零售销售数额的统计汇总，是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。,是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。,是衡量消费者支出的最主要的衡量器，而消费支出又是整体经济活动的最主要内容。零售销售上升，对日元有利。,利空
日本小企业信心,http://www.kxt.com/data/jnsballi+index.html,日本央行,月报,"指数降低则利空日本股市
",日本央行每季会对近一万家企业作未来产业趋势调查，调查企业对短期经济前景的信心，以及对现时与未来经济状况与公司盈利前景的看法。负数结果表示对经济前景感到悲观的公司多于感到乐观的公司，而正数则表示对经济前景感到乐观的公司多于感到悲观的公司。,日本央行每季会对近一万家企业作未来产业趋势调查，,根据历史显示，日本政府每季公布的企业短观报告数据极具代表性，能准确的预测日本未来的经济走势，因此与股市波动有相当的连动性。,利空
日本未季调商品贸易帐,http://www.kxt.com/data/jntbal+index.html,日本财务省,每月月中公布,"若赤字，公布值>预测值=利空日元；若盈余，公布值>预测值=利好日元
",商品贸易帐，是指一个国家在一定时期内商品出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”,统计商品出口与进口差额，不包括服务贸易,日本属于出口型经济，商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。因此，当该国商品贸易赤字扩大时，日元会下跌；反之，当出现商品贸易盈余时，日元会升值。,利多
日本商品出口年率,http://www.kxt.com/data/jntbexpy+index.html, Ministry of Finance, 每月,"公布值>预测值=利好日元
",商品贸易帐，是指一个国家在一定时期内商品出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”。,统计每月商品出口年率,日本属于出口型经济，商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。因此，当该国商品贸易赤字扩大时，日元会下跌；反之，当出现商品贸易盈余时，日元会升值。,利多
日本商品进口年率,http://www.kxt.com/data/jntbimpy+index.html, Ministry of Finance, 每月,"公布值>预测值=利好日元
",日本海关 商品贸易帐，是指一个国家在一定时期内商品出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”。,统计每月商品进口年率,日本属于出口型经济，商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。因此，当该国商品贸易赤字扩大时，日元会下跌；反之，当出现商品贸易盈余时，日元会升值。,利多
日本短观小型制造业景气判断指数,http://www.kxt.com/data/jntemfg+index.html, Bank Of Japan,季报,"公布值>预测值=利好日元
",路透社 对400家大型企业进行调查，不过进行回复的企业每次不一样。与其一起公布的路透短观制造业景气判断指数更为重要；在数据公布前大约20天的时间进行调查，为期半个月。,统计制造类企业对经济的看法,是衡量日本大型非制造企业信心的数据，包含服务业、建筑业和房地产等重要行业；路透短观调查与日本央行的季度短观调查报告具有高度相关性，能对日本央行下一次短观数据给出指引。,利空
日本短观小型非制造业景气判断指数,http://www.kxt.com/data/jntenmfg+index.html, Bank Of Japan,季报,"公布值>预测值=利好日元
",对400家大型企业进行调查，不过进行回复的企业每次不一样。与其一起公布的路透短观制造业景气判断指数更为重要；在数据公布前大约20天的时间进行调查，为期半个月。,统计非制造类企业对经济的看法,是衡量日本大型非制造企业信心的数据，包含服务业、建筑业和房地产等重要行业；路透短观调查与日本央行的季度短观调查报告具有高度相关性，能对日本央行下一次短观数据给出指引。,利空
